,count,mean,std,min,2.5%,25%,50%,75%,97.5%,max,r_hat
alpha0,7466.0,-1.64618495785312,0.26935588841095653,-2.4935545645431123,-2.178952264793128,-1.8281147904484825,-1.6454428378302672,-1.4624600742093232,-1.1236699189008006,-0.6547611125199252,1.1167502047674782
alpha1,7466.0,0.4260103043276941,0.11186602094052837,0.0162190374965079,0.20958087097787712,0.3485154869048751,0.42366976487275443,0.5006839484014236,0.6507881543915797,0.9178850933825278,1.0020129896332053
alpha2,7466.0,0.1729694844985074,0.16479702108109945,-0.5301770451672749,-0.15026667270927013,0.0640252329431707,0.1735782916043878,0.2819780940791507,0.498871912495621,0.8577216992297361,1.00042053197776
alpha3,7466.0,-0.3686620495244121,0.17919503050045413,-1.17580955617764,-0.7259675834948557,-0.4901988659592713,-0.3675359576304783,-0.24762098481525296,-0.02095957263583336,0.3222803296910206,1.0001967969325727
alpha4,7466.0,0.24292074345576561,0.14626006003389944,-0.3107945080398339,-0.02980532347090769,0.14631236960011024,0.23872005777077382,0.3343029038095686,0.5462902775610842,0.7984514059687245,1.0034362572648226
alpha5,7466.0,-0.37005157777868125,0.14869655496256318,-1.0829463437317202,-0.6808645827022992,-0.46615494095218013,-0.3624994101767084,-0.26765477979640884,-0.09939499040091962,0.0657673101715265,1.01347571995026
alpha6,7466.0,-0.7487398596855473,0.14953358675074227,-1.5152777686095371,-1.042800485536686,-0.8470358410090341,-0.745740018858504,-0.6471377010525908,-0.46623862368163,-0.2437954044188964,1.0083556753963123
theta0,7466.0,-0.047752294096773125,0.0797583919783704,-0.303270386390801,-0.21810847626033095,-0.09580589043047742,-0.0454769489319277,-0.0019813908496686,0.12536924694081214,0.2120781362271702,1.1637264044370428
theta1,7466.0,0.14773303437763943,0.028324056732253952,0.0658151968179859,0.09386022329449475,0.1279739479607682,0.14673200554158444,0.16885752901611517,0.2011559242450719,0.2275069217345456,1.0608507421156008
