Parameter,mean,2.5%,97.5%,r_hat,Model
alpha1,0.9370271435864197,0.502071592323294,1.4384132053227097,1.0014205694851546,henri
alpha2,0.3045657249783318,-0.16872775349422173,0.8462960296856469,1.000969934384389,henri
alpha3,-0.12246583859807308,-0.6081816825424528,0.4036964864756821,1.0003533750204507,henri
alpha4,0.28810150642225685,-0.08943635814682849,0.6751946721310359,1.0002187141914627,henri
alpha5,-0.5071654654076238,-0.9136583149855293,-0.13085756457700295,1.0005658014404504,henri
alpha6,-0.6776624739536394,-1.160755387985049,-0.20982862405110245,1.000316486791401,henri
alpha1,0.9942929837632208,0.555595902491922,1.489552270429631,1.0016490748747773,ida
alpha2,0.3874283224150488,-0.13299388532570752,0.9442985523563977,1.0003878850892072,ida
alpha3,-0.5689457081698261,-1.0705545353727977,-0.0783172884429413,1.0002668575191924,ida
alpha4,0.2942434756424121,-0.15758855677983225,0.7412453194286601,1.0007269675761705,ida
alpha5,-0.48896172107055785,-0.9792121164660287,-0.06443615029068996,1.000979803711674,ida
alpha6,-0.5697251098592904,-1.0801548276842232,-0.0827686401628925,1.0002647425775404,ida
alpha1,0.8851106157218185,0.34753240340125935,1.4944209991877004,1.0010002093059702,ophelia
alpha2,-0.07073797329450122,-0.6727131531485804,0.5245919579187479,1.0000623445648833,ophelia
alpha3,-0.13103165047411958,-0.7591786549877804,0.5467539596501148,1.0006094637461755,ophelia
alpha4,0.2990667968276077,-0.21010056848383854,0.778627213930803,1.0004106008277767,ophelia
alpha5,-0.08140209112240825,-0.5439013737896431,0.37126598608563954,1.0000274929715318,ophelia
alpha6,0.4981791208452346,-0.07723255412668678,1.1467200744338815,1.0004354985365578,ophelia
alpha1,1.139860649007429,0.8250291511611543,1.4526955963885664,,pooled
alpha2,0.2881019326149504,-0.06282738324661959,0.6370296216465228,,pooled
alpha3,-0.3757108894550771,-0.7214380601628867,-0.03198166848199148,,pooled
alpha4,0.3361939616934868,0.0685283444679551,0.6018610620596074,,pooled
alpha5,-0.43005194452780265,-0.6962943119796241,-0.1658097221809613,,pooled
alpha6,-0.43359136341840276,-0.7650474385627706,-0.10413009694677712,,pooled
